pub_identity,pub_deletion,place,name,address,latitude,longitude,category,rank,station_identity,area_identity
dabc295c-96f2-44fc-afe0-7b30338e8714,False,ChIJWfvGgeIcdkgRDKdIzz1uzvI,The Gun,"235 Well St, London E9 6FE, UK",51.54419993701567,-0.0470995903015136,bar,0.0,6f9943a0-e2b0-47f8-9e42-b1577d54cc22,16240ef3-d2e9-4d02-bd79-fabaf2147ff3
3058f233-ea9e-4eb7-98cb-68dda69d344d,False,ChIJd_FJ3wEddkgR6YL3yqy0OJA,The Elderfield,"57 Elderfield Rd, Lower Clapton, London E5 0LF, UK",51.55347359749472,-0.0469923019409179,bar,0.0,1a603278-e551-40dd-8188-70a81cc26f73,ad43afd8-c0fb-4f48-a782-4d62270ca145
99261dfa-fd36-4e85-b640-86efcd35aa8a,False,ChIJ3YqJa_cGdkgRU9mM7wHr9CM,The Spurstowe Arms,"68 Greenwood Rd, London E8 1AB, UK",51.545400949235145,-0.0631928443908691,bar,0.0,324ae823-eecc-45ad-94c1-15915c736bc1,16240ef3-d2e9-4d02-bd79-fabaf2147ff3
b05dbaeb-9042-4ace-b990-4c50f72a3cfc,False,ChIJUUSU7vIcdkgRvyWixUFgifc,"The Three Compasses, Dalston","99 Dalston Ln, London E8 1NH, UK",51.54829659278245,-0.0686001777648925,bar,0.0,2a829aac-cd42-4f92-bb27-7417ea56f4fd,4670ba4f-8ece-457e-ac1d-b7ab9c8bc4eb
9f9c3c5e-8bc4-4f8a-adc1-1465edc723d1,False,ChIJGTzwyIUcdkgR4sJtCCHloI8,Lady Mildmay,"92 Mildmay Park, London N1 4PR, UK",51.55071171210745,-0.0845861434936523,bar,0.0,2a829aac-cd42-4f92-bb27-7417ea56f4fd,4ba994d3-be0f-4955-9926-d41d5b751170
38e32595-06fa-4386-831e-d68ce67c21e2,False,ChIJD6rxt5ocdkgRhKmX1kf8Ndg,The Hunter S,"194 Southgate Rd, London N1 3HT, UK",51.5459347222684,-0.083470344543457,bar,0.0,e0366379-9029-4bea-a5f1-80cd6e62f722,4670ba4f-8ece-457e-ac1d-b7ab9c8bc4eb
9f7d5055-61c1-41ab-be5a-3c8740825f72,False,ChIJV_3zVYIcdkgR_t5rWRWaBKc,The Snooty Fox,"75 Grosvenor Ave, London N5 2NN, UK",51.54917725887967,-0.0913667678833007,bar,0.0,770c23f0-1fb7-4255-8c05-6ded743f4d6d,4670ba4f-8ece-457e-ac1d-b7ab9c8bc4eb
7a07787b-e8a8-45ac-9b8b-700328ccd167,False,ChIJPwdKtXwbdkgREdWbnslzsvM,The Alwyne Castle,"83 St Paul's Rd, Greater, London N1 2LY, UK",51.54657524164284,-0.0985121726989746,bar,0.0,6339de91-7b07-4cc2-960f-3e12bb216599,7b9db47d-0a1c-429c-9608-711ed711e845
54de95e5-16b1-48a3-b00b-7f53c85a0745,False,ChIJh2uTGmMbdkgRvRsyJqqTnbQ,The Canonbury Tavern,"21 Canonbury Pl, London N1 2NS, UK",51.54468034570752,-0.0975894927978515,bar,0.0,d64263fb-509a-4339-a6d2-3a86b865c4a8,7b9db47d-0a1c-429c-9608-711ed711e845
152d53a2-07ed-4b5b-8cc4-ef9ab45c57e3,False,ChIJI8t7aGIbdkgRMK9poiloszE,The Marquess Tavern,"32 Canonbury St, London N1 2TB, UK",51.54318572423199,-0.0953364372253418,bar,0.0,d64263fb-509a-4339-a6d2-3a86b865c4a8,7b9db47d-0a1c-429c-9608-711ed711e845
542030c6-7749-45ca-8705-44a741296f1e,False,ChIJfeov2mgbdkgRlsuCvg281hU,The Drapers Arms,"44 Barnsbury St, London N1 1ER, UK",51.54051663520433,-0.1084685325622558,bar,0.0,999d4e8b-7f82-4c3e-8a3d-04b1ca3aad65,7b9db47d-0a1c-429c-9608-711ed711e845
038b9ae5-c670-4797-ae52-571c8eea95f1,False,ChIJ_7_8O2AbdkgRXkIw5DWotNM,Two Tribes Brewery & Campfire Taproom,"Tileyard Rd, London N7 9AH, UK",51.543372554601206,-0.1227378845214843,bar,0.0,999d4e8b-7f82-4c3e-8a3d-04b1ca3aad65,7b9db47d-0a1c-429c-9608-711ed711e845
059d6c74-dbe3-4b7b-96cf-baa93595976c,False,ChIJF7L4QuMadkgRbyhbFEdbuDI,Tapping The Admiral,"77 Castle Rd, London NW1 8SU, UK",51.54529419387709,-0.1460838317871093,bar,0.0,02ea40d4-6982-4eba-b00f-8ac7ecc1c71d,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
376cd451-32f0-4895-8f0e-ce61fb413b6d,False,ChIJc3lKlQEbdkgRDYkQxwDv2Yg,The Pineapple,"51 Leverton St, London NW5 2NX, UK",51.55299328164666,-0.1396465301513672,bar,0.0,beac557c-22e4-4123-a821-bce558d0ca32,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
f739b77a-f490-46b9-8809-10b986844d8f,False,ChIJ2WD8ASEbdkgRjzFqY-aT8QE,Never For Ever,"79 Highgate Rd, London NW5 1TL, UK",51.554247429026574,-0.1445388793945312,bar,0.0,986e2b35-d6bf-486e-b2e4-d9ba2ccf4398,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
ecb72215-6284-4876-8d89-b5ba30789ab2,False,ChIJPeNzRv8adkgRWjmw1rC8lgI,Southampton Arms,"139 Highgate Rd, London NW5 1LE, UK",51.55607522020041,-0.1461267471313476,bar,0.0,986e2b35-d6bf-486e-b2e4-d9ba2ccf4398,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
7fee2378-ec80-4632-8309-b6dd60094fd8,False,ChIJw3ImDv8adkgR86MlvNeOFsI,The Vine,"The Vine, 86 Highgate Rd, London NW5 1PB, UK",51.55480778157302,-0.1443457603454589,bar,0.0,986e2b35-d6bf-486e-b2e4-d9ba2ccf4398,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
a869327b-e950-498e-8e26-2fd0a9bfcf5e,False,ChIJ79Q-OAAbdkgR3lSoWKRXHaE,The Junction Tavern,"101 Fortess Rd, London NW5 1AG, UK",51.55510129681859,-0.139925479888916,bar,0.0,bb724faf-b6d7-49b4-b32f-6536af2ee081,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
1ba25292-f62c-49c1-8d27-f6f237d469a0,False,ChIJO7EWLagbdkgRJ6yvobF7BvY,Tufnell Park Tavern,"162 Tufnell Pk Rd, London N7 0EE, UK",51.55755607743525,-0.1322007179260254,bar,0.0,bb724faf-b6d7-49b4-b32f-6536af2ee081,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
7edc3e66-7f68-4a09-a085-5bf2b778831c,False,ChIJx96zDVUadkgR9YctMGZu6Xs,Dartmouth Arms,"35 York Rise, London NW5 1SP, UK",51.558516607699104,-0.1436376571655273,bar,0.0,bb724faf-b6d7-49b4-b32f-6536af2ee081,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
060e9c82-2b9f-4547-bd1e-eb313934bc6b,False,ChIJY7yE2KobdkgRm8ePGmZEJvI,Lord Palmerston,"33 Dartmouth Park Hill, London NW5 1HU, UK",51.55942375654377,-0.1405048370361328,bar,0.0,bb724faf-b6d7-49b4-b32f-6536af2ee081,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
