pub_identity,detail,monday,tuesday,wednesday,thursday,friday,saturday,sunday,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport
33ed0695-3eaa-46b5-9edf-29531eb2952d,Heavy metal and goth bands,,,,,,,,,,,,,,,,,,,
34309755-2f23-4ca1-9364-121e9c9c13cb,Sun 7pm quiz and atrium dining,,,,,,,,,,,,,,,,,,,
345fea34-709f-4da4-b05b-531340ceca92,TBC,,,,,,,,,,,,,,,,,,,
348549ff-4830-4c4f-906f-90a84e1cfb96,Weatherspoons,,,,,,,,,,,,,,,,,,,
34884411-b1fd-4746-9d3d-790d803464ed,Traditional pub,,,,,,,,,,,,,,,,,,,
34cf8a86-8ad8-4a9a-b8ca-0569b43de2db,Outdoor seating,,,,,,,,,,,,,,,,,,,
350d77be-b4c5-4984-ab2f-6d2de41415e0,,7.30pm quiz,,,,,,,,,,,,,,,,7.30pm monday,,
35562c4e-3c2f-4a4f-add6-e8c7f407bcf9,Riverside bar,,,,,,,,,,,,,,,,,,,
35ce64f3-76a5-4b65-a8a8-88324cbb95a0,"Tue 8.30pm quiz, Thur/Sat/Sun:live music",,,,,,,,,,,,,,,,,,,
365a5ea5-03c6-4caa-8424-7a33339d0642,Thur jazz,,,,,,,,,,,,,,,,,,,
36f830c1-9a7a-481a-a77e-18c2d9ee15ac,Tue:poker night. Wed:darts comp. Fri:karaoke. Sun:games night. Outdoor seating,,,,,,,,,,,,,,,,,,,
376cd451-32f0-4895-8f0e-ce61fb413b6d,Mon 9pm quiz. Conservatory dining with board games,,,,,,,,,,,,,,,,,,,
37f513bc-6222-467a-a455-525df9d58d30,Dining room,,,,,,,,,,,,,,,,,,,
37fe2046-8028-40ca-bf77-c2e2ef611671,Outdoor seating,,,,,,,,,,,,,,,,,,,
38d44e17-8ce7-4c52-a3fd-fa23fe26a942,Cocktail making classes,,,,,,,,,,,,,,,,,,,
38e32595-06fa-4386-831e-d68ce67c21e2,Gastropub,,,,,,,,,,,,,,,,,,,
390c3f91-bd96-45a4-88da-a47c537cfe89,Traditional pub,,,,,,,,,,,,,,,,,,,
3916362a-8875-4f22-9dbc-fefcd9e08cb5,Cellar wine bar,,,,,,,,,,,,,,,,,,,
3993b00b-0847-4431-9392-ff60a69e1074,1st/3rd Wed 7.30pm quiz,,,,,,,,,,,,,,,,,,,
